,Ticker,Buy Date,Quantity,Buy Price,Current Price
0,STOCK_0,2024-04-11T20:50:44.913,86,82.50259933139056,103.15456223678271
1,STOCK_1,2024-06-11T20:50:44.914,21,163.96739931377058,224.66173474626095
2,STOCK_2,2023-08-29T20:50:44.914,310,98.91734237845107,163.17502594465014
3,STOCK_2,2022-09-11T20:50:44.914,955,58.94660167647227,106.95200677928585
4,STOCK_3,2021-11-23T20:50:44.914,12,66.71440836159786,102.66819473852931
5,STOCK_3,2024-07-18T20:50:44.914,830,30.845733767660235,31.461948588696544
6,STOCK_4,2024-03-19T20:50:44.914,347,55.019795795037425,83.75391264558644
7,STOCK_4,2022-04-19T20:50:44.914,118,148.95766153512452,254.93583854012562
8,STOCK_4,2022-08-25T20:50:44.914,656,84.66506996372986,124.61341603858514
9,STOCK_5,2022-04-29T20:50:44.914,759,18.80196276447813,10.483200277701336
10,STOCK_5,2023-12-02T20:50:44.914,410,115.13262848053692,224.16500207398818
11,STOCK_5,2022-02-15T20:50:44.914,856,51.63406976900968,72.06555967789194
12,STOCK_5,2023-09-12T20:50:44.914,81,74.45733428275173,125.35210744536782
13,STOCK_6,2024-01-20T20:50:44.914,985,149.98969996910776,192.62833093495752
14,STOCK_6,2024-06-30T20:50:44.914,290,90.33740272724413,144.46329402506694
15,STOCK_7,2022-04-29T20:50:44.914,271,59.884664832527776,32.94524254722223
16,STOCK_7,2022-12-28T20:50:44.914,770,145.21620590955874,129.0423915404171
17,STOCK_7,2023-05-28T20:50:44.914,627,160.71888798305886,253.77879454020515
18,STOCK_7,2022-09-07T20:50:44.914,90,17.085769379193373,20.701782922366913
19,STOCK_7,2022-08-24T20:50:44.914,806,198.93305003495456,374.87756169852275
20,STOCK_8,2023-01-27T20:50:44.914,928,57.53057046001138,74.39158539877626
21,STOCK_8,2024-05-11T20:50:44.914,992,83.27930581237416,141.3989345613503
22,STOCK_8,2023-01-08T20:50:44.914,162,74.3235185741957,52.482537293887454
23,STOCK_9,2021-10-12T20:50:44.914,250,89.08884792473208,80.06903398434821
24,STOCK_9,2021-10-26T20:50:44.914,31,59.911287924481954,108.831795480122
25,STOCK_9,2023-10-18T20:50:44.914,139,74.14305481473747,44.31720188036803
26,BOND_0,2023-01-17T20:50:44.914,721,185.24279497655883,124.72522931569348
27,BOND_1,2023-06-22T20:50:44.914,834,113.8106671248717,224.3911870598346
28,BOND_1,2022-10-22T20:50:44.914,801,88.75728806199692,58.062530273228965
29,BOND_1,2022-11-22T20:50:44.915,758,91.71694483477485,74.97685217455896
30,BOND_1,2023-04-22T20:50:44.915,291,38.30156150961577,49.04227444773124
31,BOND_2,2022-08-22T20:50:44.915,411,188.6991600138914,242.08954982949928
32,BOND_2,2023-10-03T20:50:44.915,613,18.10700777193362,18.032553360332088
33,BOND_2,2022-03-14T20:50:44.915,551,97.15720647850763,97.52874570517473
34,BOND_3,2021-09-18T20:50:44.915,740,108.20509591007665,106.33868547527094
35,BOND_3,2024-05-30T20:50:44.915,479,132.02735300038688,217.8191338498408
36,BOND_3,2022-02-14T20:50:44.915,411,37.387940578956965,60.11641164787997
37,BOND_3,2023-05-03T20:50:44.915,783,77.79410896468285,99.22121330242358
38,BOND_3,2024-02-15T20:50:44.915,850,191.73078043193237,310.83841181737426
39,BOND_4,2021-12-24T20:50:44.915,386,135.58068303246998,121.49065819381381
40,BOND_4,2021-09-26T20:50:44.915,346,145.59254983616836,82.96274084199594
41,BOND_4,2021-12-27T20:50:44.915,436,16.405040680409748,17.328865008250773
42,BOND_4,2022-07-17T20:50:44.915,449,30.64919133653149,38.32660697334563
